pretrained retrieval model loaded from: /mnt/disk3/tinvt/openssl-simcore/save/aircraft_resnet50_pretrain_simclr_TEST_baseline/last.pth
SimCore sampling starts!
100%|██████████████████████████████████████████████████| 53/53 [00:38<00:00,  1.38it/s]
Finding the closest 333350 samples from imagenet ...
990it [01:06, 14.87it/s]
Cosine similarity matrix is computed...
Stopped sampling because the rest are not similar to the target dataset.
Complete! 126400 number of indices sampled from imagenet.
new epoch: 2
Train: [2][350/1040]	BT 0.196 (0.203)	DT 0.000 (0.006)	loss 4.362 (4.376)
Train: [2][360/1040]	BT 0.197 (0.203)	DT 0.000 (0.006)	loss 4.529 (4.376)
Train: [2][370/1040]	BT 0.197 (0.203)	DT 0.000 (0.006)	loss 4.498 (4.375)
Train: [2][380/1040]	BT 0.197 (0.202)	DT 0.000 (0.006)	loss 4.234 (4.375)
Train: [2][390/1040]	BT 0.196 (0.202)	DT 0.000 (0.006)	loss 4.384 (4.374)
Train: [2][400/1040]	BT 0.197 (0.202)	DT 0.000 (0.006)	loss 4.355 (4.374)
Train: [2][410/1040]	BT 0.196 (0.202)	DT 0.000 (0.006)	loss 4.398 (4.375)
Train: [2][420/1040]	BT 0.198 (0.202)	DT 0.000 (0.005)	loss 4.384 (4.374)
Train: [2][430/1040]	BT 0.198 (0.202)	DT 0.000 (0.005)	loss 4.241 (4.373)
Train: [2][440/1040]	BT 0.198 (0.202)	DT 0.000 (0.005)	loss 4.303 (4.373)
Train: [2][450/1040]	BT 0.199 (0.202)	DT 0.000 (0.005)	loss 4.107 (4.372)
Train: [2][460/1040]	BT 0.198 (0.202)	DT 0.000 (0.005)	loss 4.079 (4.372)
Train: [2][470/1040]	BT 0.197 (0.201)	DT 0.000 (0.005)	loss 4.135 (4.370)
Train: [2][480/1040]	BT 0.197 (0.201)	DT 0.000 (0.005)	loss 4.363 (4.371)
Train: [2][490/1040]	BT 0.197 (0.201)	DT 0.000 (0.005)	loss 4.245 (4.371)
Train: [2][500/1040]	BT 0.197 (0.201)	DT 0.000 (0.005)	loss 4.357 (4.371)
Train: [2][510/1040]	BT 0.196 (0.201)	DT 0.000 (0.004)	loss 4.191 (4.371)
Train: [2][520/1040]	BT 0.196 (0.201)	DT 0.000 (0.004)	loss 4.295 (4.371)
Train: [2][530/1040]	BT 0.197 (0.201)	DT 0.000 (0.004)	loss 4.417 (4.371)
Train: [2][540/1040]	BT 0.196 (0.201)	DT 0.000 (0.004)	loss 4.341 (4.370)
Train: [2][550/1040]	BT 0.196 (0.201)	DT 0.000 (0.004)	loss 4.416 (4.369)
Train: [2][560/1040]	BT 0.197 (0.201)	DT 0.000 (0.004)	loss 4.296 (4.369)
Train: [2][570/1040]	BT 0.196 (0.201)	DT 0.000 (0.004)	loss 4.556 (4.369)
Train: [2][580/1040]	BT 0.196 (0.200)	DT 0.000 (0.004)	loss 4.339 (4.369)
Train: [2][590/1040]	BT 0.196 (0.200)	DT 0.000 (0.004)	loss 4.254 (4.369)
Train: [2][600/1040]	BT 0.197 (0.200)	DT 0.000 (0.004)	loss 4.427 (4.370)
Train: [2][610/1040]	BT 0.196 (0.200)	DT 0.000 (0.004)	loss 4.393 (4.370)
Train: [2][620/1040]	BT 0.197 (0.200)	DT 0.000 (0.004)	loss 4.338 (4.370)
Train: [2][630/1040]	BT 0.196 (0.200)	DT 0.000 (0.004)	loss 4.459 (4.369)
