pretrained retrieval model loaded from: /mnt/disk3/tinvt/openssl-simcore/save/aircraft_resnet50_pretrain_simclr_TEST_baseline_200_epochs/last.pth
SimCore sampling starts!
100%|████████████████████████████████████████████████████████████████████████████████| 53/53 [01:03<00:00,  1.20s/it]
Finding the closest 333350 samples from imagenet ...
990it [01:07, 14.67it/s]
Cosine similarity matrix is computed...
Stopped sampling because the rest are not similar to the target dataset.
Complete! 5689 number of indices sampled from imagenet.
new epoch: 200
Train: [13][10/97]	BT 0.197 (0.409)	DT 0.000 (0.211)	loss 4.642 (4.724)
Train: [13][20/97]	BT 0.197 (0.303)	DT 0.000 (0.105)	loss 4.592 (4.678)
Train: [13][30/97]	BT 0.196 (0.268)	DT 0.000 (0.070)	loss 4.365 (4.588)
Train: [13][40/97]	BT 0.196 (0.250)	DT 0.000 (0.053)	loss 4.274 (4.527)
Train: [13][50/97]	BT 0.198 (0.239)	DT 0.000 (0.042)	loss 4.314 (4.494)
Train: [13][60/97]	BT 0.196 (0.232)	DT 0.000 (0.035)	loss 4.318 (4.460)
Train: [13][70/97]	BT 0.197 (0.227)	DT 0.000 (0.030)	loss 4.202 (4.437)
Train: [13][80/97]	BT 0.197 (0.223)	DT 0.000 (0.026)	loss 4.299 (4.418)
Train: [13][90/97]	BT 0.197 (0.220)	DT 0.000 (0.024)	loss 4.308 (4.401)
Train epoch 13, total time 21.18, loss 4.387
Train: [14][10/97]	BT 0.199 (0.413)	DT 0.000 (0.210)	loss 4.300 (4.238)
Train: [14][20/97]	BT 0.200 (0.307)	DT 0.000 (0.105)	loss 4.253 (4.237)
Train: [14][30/97]	BT 0.200 (0.271)	DT 0.000 (0.070)	loss 4.319 (4.250)
Train: [14][40/97]	BT 0.196 (0.253)	DT 0.000 (0.053)	loss 4.316 (4.222)
Train: [14][50/97]	BT 0.196 (0.242)	DT 0.000 (0.042)	loss 4.263 (4.224)
Train: [14][60/97]	BT 0.197 (0.234)	DT 0.000 (0.035)	loss 4.123 (4.213)
Train: [14][70/97]	BT 0.195 (0.229)	DT 0.000 (0.030)	loss 4.100 (4.213)
Train: [14][80/97]	BT 0.196 (0.225)	DT 0.000 (0.026)	loss 4.142 (4.211)
Train: [14][90/97]	BT 0.196 (0.221)	DT 0.000 (0.024)	loss 4.323 (4.214)
Train epoch 14, total time 21.27, loss 4.206
Train: [15][10/97]	BT 0.199 (0.370)	DT 0.000 (0.171)	loss 4.332 (4.184)
Train: [15][20/97]	BT 0.197 (0.284)	DT 0.000 (0.086)	loss 4.179 (4.173)
Train: [15][30/97]	BT 0.196 (0.255)	DT 0.000 (0.057)	loss 4.217 (4.154)
