pretrained retrieval model loaded from: /mnt/disk3/tinvt/openssl-simcore/save/aircraft_resnet50_pretrain_simclr_TEST_baseline/last.pth
SimCore sampling starts!
100%|█████████████████████████| 53/53 [00:42<00:00,  1.25it/s]
Finding the closest 333350 samples from imagenet ...
990it [01:07, 14.63it/s]
Cosine similarity matrix is computed...
Stopped sampling because the rest are not similar to the target dataset.
Complete! 126492 number of indices sampled from imagenet.
new epoch: 2
Train: [2][390/1041]	BT 0.196 (0.201)	DT 0.000 (0.004)	loss 4.632 (4.773)
Train: [2][400/1041]	BT 0.196 (0.201)	DT 0.000 (0.004)	loss 4.780 (4.771)
Train: [2][410/1041]	BT 0.196 (0.201)	DT 0.000 (0.004)	loss 4.841 (4.772)
Train: [2][420/1041]	BT 0.196 (0.201)	DT 0.000 (0.004)	loss 4.650 (4.771)
Train: [2][430/1041]	BT 0.196 (0.201)	DT 0.000 (0.004)	loss 4.722 (4.771)
Train: [2][440/1041]	BT 0.196 (0.200)	DT 0.000 (0.004)	loss 4.792 (4.771)
Train: [2][450/1041]	BT 0.196 (0.200)	DT 0.000 (0.004)	loss 4.859 (4.771)
Train: [2][460/1041]	BT 0.196 (0.200)	DT 0.000 (0.004)	loss 4.864 (4.771)
Train: [2][470/1041]	BT 0.197 (0.200)	DT 0.000 (0.004)	loss 4.909 (4.772)
Train: [2][480/1041]	BT 0.196 (0.200)	DT 0.000 (0.003)	loss 4.659 (4.771)
Train: [2][490/1041]	BT 0.196 (0.200)	DT 0.000 (0.003)	loss 4.665 (4.771)
Train: [2][500/1041]	BT 0.196 (0.200)	DT 0.000 (0.003)	loss 4.689 (4.770)
Train: [2][510/1041]	BT 0.196 (0.200)	DT 0.000 (0.003)	loss 4.707 (4.770)
Train: [2][520/1041]	BT 0.197 (0.200)	DT 0.000 (0.003)	loss 4.776 (4.769)
Train: [2][530/1041]	BT 0.199 (0.200)	DT 0.000 (0.003)	loss 4.681 (4.769)
Train: [2][540/1041]	BT 0.197 (0.200)	DT 0.000 (0.003)	loss 4.961 (4.769)
Train: [2][550/1041]	BT 0.198 (0.200)	DT 0.000 (0.003)	loss 4.747 (4.768)
Train: [2][560/1041]	BT 0.197 (0.200)	DT 0.000 (0.003)	loss 4.770 (4.768)
Train: [2][570/1041]	BT 0.199 (0.200)	DT 0.000 (0.003)	loss 4.758 (4.769)
Train: [2][580/1041]	BT 0.196 (0.200)	DT 0.000 (0.003)	loss 4.786 (4.768)
Train: [2][590/1041]	BT 0.196 (0.200)	DT 0.000 (0.003)	loss 4.676 (4.768)
Train: [2][600/1041]	BT 0.196 (0.199)	DT 0.000 (0.003)	loss 4.861 (4.768)
Train: [2][610/1041]	BT 0.196 (0.199)	DT 0.000 (0.003)	loss 4.769 (4.768)
Train: [2][620/1041]	BT 0.196 (0.199)	DT 0.000 (0.003)	loss 4.802 (4.768)
Train: [2][630/1041]	BT 0.196 (0.199)	DT 0.000 (0.003)	loss 4.626 (4.768)
Train: [2][640/1041]	BT 0.197 (0.199)	DT 0.000 (0.003)	loss 4.938 (4.768)
Train: [2][650/1041]	BT 0.196 (0.199)	DT 0.000 (0.003)	loss 4.781 (4.767)
Train: [2][660/1041]	BT 0.196 (0.199)	DT 0.000 (0.003)	loss 4.785 (4.767)
Train: [2][670/1041]	BT 0.196 (0.199)	DT 0.000 (0.003)	loss 4.988 (4.768)
Train: [2][680/1041]	BT 0.196 (0.199)	DT 0.000 (0.003)	loss 4.775 (4.768)
Train: [2][690/1041]	BT 0.196 (0.199)	DT 0.000 (0.002)	loss 4.781 (4.768)
Train: [2][700/1041]	BT 0.196 (0.199)	DT 0.000 (0.002)	loss 4.816 (4.767)
Train: [2][710/1041]	BT 0.196 (0.199)	DT 0.000 (0.002)	loss 4.616 (4.767)
Train: [2][720/1041]	BT 0.196 (0.199)	DT 0.000 (0.002)	loss 4.831 (4.767)
Train: [2][730/1041]	BT 0.197 (0.199)	DT 0.000 (0.002)	loss 4.674 (4.767)
Train: [2][740/1041]	BT 0.196 (0.199)	DT 0.000 (0.002)	loss 4.581 (4.767)
Train: [2][750/1041]	BT 0.200 (0.199)	DT 0.000 (0.002)	loss 4.691 (4.767)
Train: [2][760/1041]	BT 0.198 (0.199)	DT 0.000 (0.002)	loss 4.722 (4.766)
Train: [2][770/1041]	BT 0.197 (0.199)	DT 0.000 (0.002)	loss 4.839 (4.766)
Train: [2][780/1041]	BT 0.197 (0.199)	DT 0.000 (0.002)	loss 4.860 (4.766)
Train: [2][790/1041]	BT 0.197 (0.199)	DT 0.000 (0.002)	loss 4.670 (4.766)
Train: [2][800/1041]	BT 0.200 (0.199)	DT 0.000 (0.002)	loss 4.755 (4.767)
Train: [2][810/1041]	BT 0.197 (0.199)	DT 0.000 (0.002)	loss 4.621 (4.766)
Train: [2][820/1041]	BT 0.196 (0.199)	DT 0.000 (0.002)	loss 4.705 (4.766)
Train: [2][830/1041]	BT 0.196 (0.199)	DT 0.000 (0.002)	loss 4.810 (4.766)
Train: [2][840/1041]	BT 0.196 (0.199)	DT 0.000 (0.002)	loss 4.778 (4.766)
Train: [2][850/1041]	BT 0.196 (0.199)	DT 0.000 (0.002)	loss 4.776 (4.765)
Train: [2][860/1041]	BT 0.196 (0.199)	DT 0.000 (0.002)	loss 4.781 (4.765)
Train: [2][870/1041]	BT 0.196 (0.199)	DT 0.000 (0.002)	loss 4.823 (4.765)
Train: [2][880/1041]	BT 0.196 (0.199)	DT 0.000 (0.002)	loss 4.726 (4.765)
Train: [2][890/1041]	BT 0.196 (0.199)	DT 0.000 (0.002)	loss 4.678 (4.765)
Train: [2][900/1041]	BT 0.196 (0.198)	DT 0.000 (0.002)	loss 4.770 (4.764)
Train: [2][910/1041]	BT 0.196 (0.198)	DT 0.000 (0.002)	loss 4.824 (4.764)
