Train: [14][60/105]	BT 0.203 (0.221)	DT 0.000 (0.017)	loss 4.017 (3.914)
Train: [14][70/105]	BT 0.203 (0.219)	DT 0.000 (0.015)	loss 3.763 (3.918)
Train: [14][80/105]	BT 0.200 (0.217)	DT 0.000 (0.013)	loss 3.676 (3.909)
Train: [14][90/105]	BT 0.203 (0.216)	DT 0.000 (0.011)	loss 3.858 (3.904)
Train: [14][100/105]	BT 0.203 (0.215)	DT 0.000 (0.010)	loss 3.751 (3.903)
Train epoch 14, total time 22.34, loss 3.898
Train: [15][10/105]	BT 0.206 (0.321)	DT 0.000 (0.118)	loss 3.783 (3.872)
Train: [15][20/105]	BT 0.207 (0.263)	DT 0.000 (0.059)	loss 3.840 (3.892)
Train: [15][30/105]	BT 0.206 (0.244)	DT 0.000 (0.039)	loss 3.783 (3.888)
Train: [15][40/105]	BT 0.206 (0.233)	DT 0.000 (0.029)	loss 4.003 (3.884)
Train: [15][50/105]	BT 0.203 (0.228)	DT 0.000 (0.024)	loss 3.940 (3.892)
Train: [15][60/105]	BT 0.203 (0.224)	DT 0.000 (0.020)	loss 3.864 (3.896)
Train: [15][70/105]	BT 0.203 (0.221)	DT 0.000 (0.017)	loss 4.151 (3.893)
Train: [15][80/105]	BT 0.203 (0.219)	DT 0.000 (0.015)	loss 3.772 (3.896)
Train: [15][90/105]	BT 0.202 (0.217)	DT 0.000 (0.013)	loss 3.946 (3.887)
Train: [15][100/105]	BT 0.205 (0.216)	DT 0.000 (0.012)	loss 3.838 (3.882)
Train epoch 15, total time 22.48, loss 3.876
Train: [16][10/105]	BT 0.096 (0.290)	DT 0.000 (0.099)	loss 4.119 (3.933)
Train: [16][20/105]	BT 0.203 (0.244)	DT 0.000 (0.049)	loss 3.819 (3.893)
Train: [16][30/105]	BT 0.206 (0.231)	DT 0.000 (0.033)	loss 3.723 (3.869)
Train: [16][40/105]	BT 0.206 (0.224)	DT 0.000 (0.025)	loss 3.806 (3.861)
Train: [16][50/105]	BT 0.206 (0.220)	DT 0.000 (0.020)	loss 3.953 (3.856)
Train: [16][60/105]	BT 0.206 (0.218)	DT 0.000 (0.017)	loss 3.865 (3.846)
Train: [16][70/105]	BT 0.206 (0.216)	DT 0.000 (0.014)	loss 3.572 (3.820)
Train: [16][80/105]	BT 0.206 (0.214)	DT 0.000 (0.012)	loss 3.468 (3.802)
Train: [16][90/105]	BT 0.206 (0.213)	DT 0.000 (0.011)	loss 3.703 (3.782)
Train: [16][100/105]	BT 0.207 (0.212)	DT 0.000 (0.010)	loss 3.623 (3.777)
Train epoch 16, total time 22.12, loss 3.766
